URL,KEYWORD SEARCH,FILER TOPIC,FILTER SUB TOPIC,FILTER TYPE,DATESTAMP
/topic/roles-relationships/,,,,market-trend-reports,
/topic/security/,,,,market-trend-reports,
/topic/security/,,,,market-trend-reports,
/topic/security/,,,,market-trend-reports,
/topic/covid-research/,,,,market-trend-reports,
/topic/cloud-infrastructure/,,,,market-trend-reports,
/topic/cloud-infrastructure/,,,,market-trend-reports,
/filter-types/expert-presentations/,,people,,,
/filter-types/expert-presentations/,,people,,,
/filter-types/expert-presentations/,,people,,,
/filter-types/community-interviews,,cloud-infrastructure,,,
/filter-types/community-interviews,,cloud-infrastructure,top-emerging-technologies-cloud-infrastructure,,
/topic/people/,dom price,,,,
/filter-types/market-trend-reports,,cloud-infrastructure,,,
/filter-types/deep-dives,,people,,,
/filter-types/deep-dives,,finance,,,
/topic/awareness-education/,,,,deep-dives,
/topic/applications/,devops,,,,
/filter-types/community-interviews,Anthony Saba ,,,,
/topic/cloud-infrastructure/,Weill,,,,
/topic/cloud-infrastructure/,Wiell,,,,
/topic/strategic-business-initiatives/,Weil,,,,
/filter-types/expert-presentations/,Weill,,,,
/topic/leadership/,weill,,,,
/topic/strategic-business-initiatives/,Weill,,,,
/,Weill,,,,
/topic/,Weill,,,,
/filter-types/expert-presentations/,,security,,,
/topic/security/,boon,,,,
/topic/security/,access,,,,
/topic/security/,id,,,,
/topic/security/,access id management,,,,
/topic/security/page/2/,access id management,,,,
/topic/security/,access id management,,,,
/filter-types/expert-presentations/,amantha,,,,
/filter-types/expert-presentations/,theo,,,,
/filter-types/expert-presentations/,tyro,,,,
/filter-types/deep-dives,ginni,,,,
/filter-types/expert-presentations/,graham,,,,
/topic/people/,memo,,,,
/topic/cloud-infrastructure/,cloud,,,,
/topic/security/,test,,,,
/topic/security/,test,,,,
/topic/data-centre/,peter,,,,
/topic/data-centre/,,,,community-interview,
/topic/hardware-infrastructure/,david security,,,,
/topic/hardware-infrastructure/,,,,data-insights,
/topic/data-centre/,,,,deep-dives,
/topic/cloud-infrastructure/,security data,,,,
/topic/strategies-processes-cloud-infrastructure/,,,,deep-dives,
/topic/cloud-infrastructure/,cloud,,,,
/topic/cloud-infrastructure/,cloud migration,,,,
/filter-types/expert-presentations/,amantha,,,,
/filter-types/expert-presentations/,troy hunt,,,,
/filter-types/expert-presentations/,sweeney,,,,
/filter-types/expert-presentations/,ellis,,,,
/filter-types/expert-presentations/,jamil,,,,
/filter-types/expert-presentations/,matt boon,,,,
/filter-types/expert-presentations/,ian opperman,,,,
/filter-types/expert-presentations/,approach,,,,
/filter-types/expert-presentations/,shetler,,,,
/topic/strategic-business-initiatives/,,,,market-trend-reports,
/filter-types/expert-presentations/,robert,,,,
/topic/strategic-business-initiatives/,public cloud growth,,,,
/topic/strategic-business-initiatives/,public cloud,,,,
/filter-types/community-interviews,,security,,,
/topic/security/,,,,community-interview,
/filter-types/community-interviews,simon waller,,,,
/filter-types/community-interviews,role,,,,
/filter-types/community-interviews,simon waller,,,,
/filter-types/market-trend-reports,six trends for digital,,,,
/filter-types/market-trend-reports,paradigm,,,,
/topic/digital-transformation/,justina,,,,
/topic/digital-transformation/,shane,,,,
/filter-types/market-trend-reports,shane,,,,
/filter-types/expert-presentations/,cisco,,,,
/filter-types/market-trend-reports,salesforce,,,,
/filter-types/expert-presentations/,salesforce,,,,
/topic/digital-transformation/,salesforce,,,,
/topic/security/,salesforce,,,,
/topic/cloud-infrastructure/,salesforce,,,,
/topic/applications/,salesforce,,,,
/topic/strategic-business-initiatives/,salesforce,,,,
/topic/finance/,salesforce,,,,
/topic/people/,salesforce,,,,
/filter-types/expert-presentations/,peter,,,,
/filter-types/expert-presentations/,weill,,,,
/filter-types/market-trend-reports,justina,,,,
/filter-types/expert-presentations/,justina,,,,
/filter-types/expert-presentations/page/3/,justina,,,,
/filter-types/expert-presentations/page/2/,justina,,,,
/filter-types/expert-presentations/page/4/,justina,,,,
/filter-types/expert-presentations/page/4/,justina uy,,,,
/filter-types/deep-dives,rolfe,,,,
/filter-types/deep-dives,rolf,,,,
/filter-types/deep-dives,rolf,,,,
/topic/cloud-infrastructure/,cloud,,,,
/topic/digital-transformation/,co-creation,,,,
/topic/cloud-infrastructure/,economics,,,,
/topic/security/,bowen,,,,
/topic/cloud-infrastructure/,"Scott Newman",,,expert-presentations,2021-01-08T08:57:02+1100

/topic/cloud-infrastructure/,,,,data-insights,2021-01-08T08:58:55+1100
/filter-types/expert-presentations/,,security,,,2021-01-08T09:10:48+1100
/filter-types/expert-presentations/,"matt boon",security,,,2021-01-08T09:31:54+1100
/topic/security/,,,,expert-presentations,2021-01-08T09:33:00+1100
